ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MJJG,42,1,1,False,False,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPARAMS,GA,0,[],[],0.6819900086720785,-99999,165792446,-359996400,8545258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,0,30,0,False,False
KABR,42,1,1,False,False,"[1, 1, 0, 1, 2, 1, 1, 2, 0, 2, -1, 1, 1, 0, 0, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPARAMS,GA,0,[],[],0.7705047678734576,-99999,375961070,-359996400,4398890,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,0,30,0,False,False
ZTHN,42,1,1,False,False,"[1, 2, 0, 1, 2, 1, 2, -1, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPARAMS,GA,0,[],[],0.719095652004083,-99999,567201118,-359996400,2023178,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,0,30,0,False,False
KCYY,42,1,1,False,False,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 1, 1, 3, 0, 2, -1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPARAMS,GA,0,[],[],0.7321574933826923,-99999,70412094,-359996400,4922090,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,0,30,0,False,False
PHE,42,1,1,False,False,"[1, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPARAMS,GA,0,[],[],0.7380845052599906,-99999,526180142,-359996400,1012010,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,0,30,0,False,False
WVWX,42,1,1,False,False,"[1, 0, 0, 1, 3, 1, 2, -1, 1, 1, 0, 0, 2, -1, 1, 1, 3, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPARAMS,GA,0,[],[],0.7402617083787918,-99999,223921742,-359996400,1013290,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,7,0,30,0,False,False
KCYY-WVWX(1),42,1,1,True,False,"[1, 0, 0, 1, 3, 1, 1, 1, 0, 2, -1, 1, 1, 3, 0, 1, 3, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPARAMS,GA,0,[],[],0.7569284984469413,-99999,594221662,-359996400,18010698,KCYY,WVWX,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 1, 1, 3, 0, 2, -1, 0, 5, 3, 0]","[1, 0, 0, 1, 3, 1, 2, -1, 1, 1, 0, 0, 2, -1, 1, 1, 3, 1, 5, 1, 0]",NONE,5,10,-1,0,0,2,0,False,False
KCYY-WVWX(2),42,1,1,True,False,"[1, 0, 1, 1, 0, 1, 2, -1, 1, 1, 0, 0, 1, 1, 1, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPARAMS,GA,0,[],[],0.6494711289008458,-99999,36417374,-359996400,386058,KCYY,WVWX,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 1, 1, 3, 0, 2, -1, 0, 5, 3, 0]","[1, 0, 0, 1, 3, 1, 2, -1, 1, 1, 0, 0, 2, -1, 1, 1, 3, 1, 5, 1, 0]",NONE,9,7,-1,0,0,2,0,False,False
PHE-KABR(1)[M],42,1,1,True,False,"[1, 0, 0, 1, 1, 1, 1, 2, 1, 2, -1, 1, 1, 0, 0, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'CONV': [128, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPARAMS,GA,0,[],[],0.7340462571879227,-99999,267979342,-359996400,362474,PHE,KABR,"[1, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0]","[1, 1, 0, 1, 2, 1, 1, 2, 0, 2, -1, 1, 1, 0, 0, 1, 2, 0, 5, 2, 0]",NONE,3,7,-1,1,0,4,0,False,False
PHE-KABR(2)[M],42,1,1,True,False,"[1, 1, 0, 1, 2, 1, 1, 2, 0, 1, 1, 1, 1, 0, 1, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPARAMS,GA,0,[],[],0.7722818513995126,-99999,696767742,-359996400,34207850,PHE,KABR,"[1, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0]","[1, 1, 0, 1, 2, 1, 1, 2, 0, 2, -1, 1, 1, 0, 0, 1, 2, 0, 5, 2, 0]",NONE,7,3,-1,1,0,4,0,False,False
