ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MJJG,42,1,1,FALSE,FALSE,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,"[0.257099986076355, 0.34040001034736633, 0.3833000063896179, 0.23720000684261322, 0.33149999380111694]","[2.2726247310638428, 2.099695920944214, 1.7901694774627686, 3.2892515659332275, 2.27703857421875]",0.331499994,2.277038574,165496670,32.86256695,8545258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
PIXZ,42,1,1,FALSE,FALSE,"[1, 0, 0, 2, -1, 1, 1, 3, 0, 2, -1, 1, 1, 1, 1, 2, -1, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,"[0.11810000240802765, 0.24570000171661377, 0.2624000012874603, 0.26669999957084656, 0.2572999894618988]","[3.24857497215271, 2.102940559387207, 2.7186594009399414, 2.84415864944458, 3.22772479057312]",0.257299989,3.227724791,16498094,28.6924262,555338,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
GKOK,42,1,1,FALSE,FALSE,"[1, 1, 1, 1, 1, 1, 2, -1, 1, 1, 1, 1, 1, 2, 1, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,"[0.14020000398159027, 0.3517000079154968, 0.44179999828338623, 0.46320000290870667, 0.34700000286102295]","[3.1976325511932373, 1.7590043544769287, 1.5474979877471924, 1.5299183130264282, 1.8391834497451782]",0.347000003,1.83918345,148248606,29.92508531,1599498,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
KHPL,42,1,1,FALSE,FALSE,"[1, 3, 1, 2, -1, 1, 1, 2, 1, 1, 3, 0, 2, -1, 0, 1, 2, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,"[0.13459999859333038, 0.2955000102519989, 0.2685999870300293, 0.20669999718666077, 0.367900013923645]","[3.701237916946411, 2.072345018386841, 2.902048349380493, 3.929288625717163, 2.003249168395996]",0.367900014,2.003249168,167766366,30.03945923,3799050,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
ALLX,42,1,1,FALSE,FALSE,"[1, 2, 0, 1, 3, 0, 2, -1, 0, 1, 0, 1, 1, 1, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,"[0.1664000004529953, 0.20640000700950623, 0.24570000171661377, 0.16769999265670776, 0.2678000032901764]","[2.7487106323242188, 2.151703357696533, 1.991716980934143, 2.389251232147217, 1.9911001920700073]",0.267800003,1.991100192,371711966,30.79912996,853610,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
HQJZ,42,1,1,FALSE,FALSE,"[1, 2, 0, 1, 3, 0, 1, 1, 0, 1, 3, 0, 2, -1, 0, 1, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,"[0.15399999916553497, 0.14229999482631683, 0.21080000698566437, 0.3314000070095062, 0.20399999618530273]","[3.532020330429077, 2.8484106063842773, 3.345698118209839, 1.8779675960540771, 2.785968065261841]",0.203999996,2.785968065,647866206,31.49889088,2843658,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
BHKO,42,1,1,FALSE,FALSE,"[1, 2, 0, 1, 2, 0, 1, 0, 0, 1, 2, 0, 1, 0, 1, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,"[0.2433999925851822, 0.3375000059604645, 0.2824000120162964, 0.25619998574256897, 0.24899999797344208]","[2.1991114616394043, 1.9387644529342651, 2.3251430988311768, 2.571221351623535, 2.5781502723693848]",0.248999998,2.578150272,337125678,31.64229989,2319434,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
DAGX,42,1,1,FALSE,FALSE,"[1, 0, 0, 2, -1, 0, 1, 3, 1, 1, 3, 1, 2, -1, 0, 1, 0, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,"[0.1882999986410141, 0.25999999046325684, 0.2565000057220459, 0.20630000531673431, 0.1940000057220459]","[2.7682759761810303, 2.678093671798706, 3.6213719844818115, 4.3072357177734375, 4.358922958374023]",0.194000006,4.358922958,478650654,30.59587741,2976938,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
MSCU,42,1,1,FALSE,FALSE,"[1, 1, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1, 2, -1, 1, 1, 0, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,"[0.24300000071525574, 0.21709999442100525, 0.4124999940395355, 0.2624000012874603, 0.29350000619888306]","[2.1789989471435547, 2.503889799118042, 1.6847453117370605, 2.121136426925659, 2.3529045581817627]",0.293500006,2.352904558,341190398,30.71436906,839818,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
LOGR,42,1,1,FALSE,FALSE,"[1, 3, 1, 1, 0, 0, 2, -1, 0, 1, 3, 1, 2, -1, 1, 1, 3, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,5,"[0.12330000102519989, 0.43560001254081726, 0.3098999857902527, 0.4805999994277954, 0.296999990940094]","[3.879082441329956, 1.592140793800354, 2.0449910163879395, 1.459123134613037, 2.322157144546509]",0.296999991,2.322157145,207993694,29.42023468,3121706,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
