ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BREEPO,1000,1,1,1,0.01,False,False,"[29, 62, 42, 38, 26, 31, 43, 29]",[],"[29.56061448223377, 62.22741401138421, 42.65318843289612, 38.86467038471544, 26.956743446549932, 31.059758214373723, 43.79214111044422, 29.008198488678033]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6893796705808197,,,,4335824384,5290788,,,,,,,0.674367595481669,0.0,0.0,0.0,0.0,0.0,0.01,16,0,100,0,0.16,0,BEST,False,False,335,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M],1000,1,2,2,0.02,True,True,"[24, 47, 17, 31, 44, 43, 62, 55]",[],"[24.808259187502905, 47.21988126561914, 17.015984080665913, 31.590227641974636, 44.0421860893587, 43.30884449967281, 62.82503013624486, 55.13994453840854]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6900175386987307,,,,2786679808,6547748,,,,,,"[24, 48, 17, 32, 43, 42, 62, 54]",0.6837606227617651,-0.0052955093835882,0.0,0.0,0.625,1.0,0.02,2,0,100,0,0.02,0,BEST,False,False,329,True,True,GREEDY,,,GREEDY_CROSS
BLVRWR[M],1000,1,3,3,0.03,True,True,"[30, 54, 36, 46, 46, 47, 35, 54]",[],"[30.528924926217073, 54.16596545007263, 36.17435859046573, 46.23977829857842, 46.86948240398841, 47.28840830001977, 35.72870513524429, 54.05831436916785]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6963330775961643,,,,3917424640,6605348,,,,,,"[31, 53, 35, 45, 47, 47, 36, 53]",0.6961507478274916,0.0004390258086196,0.0,0.0,0.875,1.0,0.03,3,0,100,0,0.03,0,BEST,False,False,286,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M],1000,1,4,4,0.04,True,True,"[25, 47, 15, 31, 44, 43, 62, 55]",[],"[25.241440995704625, 47.72395963771842, 15.041235787215376, 31.79727875698184, 44.1986193745191, 43.483656254221515, 62.92177881952196, 55.29632023319976]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.698810870860798,,,,3145538560,7150628,,,,,,"[24, 47, 17, 31, 44, 43, 62, 55]",0.7012778386122742,-0.0005139316317291,0.0,0.0,0.25,1.0,0.04,1,0,100,0,0.01,0,BEST,False,False,264,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M],1000,1,5,4,0.05,True,True,"[25, 47, 15, 31, 44, 43, 62, 55]",[],"[25.241440995704625, 47.72395963771842, 15.041235787215376, 31.79727875698184, 44.1986193745191, 43.483656254221515, 62.92177881952196, 55.29632023319976]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.698810870860798,,,,3145538560,7150628,,,,,,"[24, 47, 17, 31, 44, 43, 62, 55]",0.7140269688892924,0.0011948142575033,0.0,0.0,0.25,0.0,0.04,1,0,100,0,0.01,0,BEST,False,False,264,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M],1000,1,6,4,0.06,True,True,"[25, 47, 15, 31, 44, 43, 62, 55]",[],"[25.241440995704625, 47.72395963771842, 15.041235787215376, 31.79727875698184, 44.1986193745191, 43.483656254221515, 62.92177881952196, 55.29632023319976]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.698810870860798,,,,3145538560,7150628,,,,,,"[24, 47, 17, 31, 44, 43, 62, 55]",0.7126371371799635,-9.23569025054194e-05,0.0,0.0,0.25,0.0,0.04,2,0,100,0,0.02,0,BEST,False,False,264,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M][M][M],1000,1,7,7,0.07,True,True,"[24, 47, 15, 31, 46, 44, 62, 55]",[],"[24.539165123318487, 47.12891835813034, 15.207399441601444, 31.893635671311916, 46.38154167267881, 44.392343861142976, 62.98306156889527, 55.760056161779495]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7035614009334391,,,,3155577856,8027940,,,,,,"[24, 46, 14, 31, 44, 43, 62, 55]",0.7155491002396625,2.1450193519623184e-05,0.0,0.0,0.5,0.375,0.07,1,0,100,0,0.01,0,BEST,False,False,196,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M][M][M][M],1000,1,8,8,0.08,True,True,"[25, 47, 15, 31, 46, 44, 62, 55]",[],"[25.504683952459583, 47.367442048501324, 15.40179685343791, 31.717781927686403, 46.34837883756723, 44.47408917617851, 62.99862568614635, 55.61858787527809]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7062554635668934,,,,3222686720,8060708,,,,,,"[24, 47, 15, 31, 46, 44, 62, 55]",0.720297708426141,-6.083955647828709e-06,0.0,0.0,0.125,0.125,0.08,0,0,100,0,0.0,0,BEST,False,False,154,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M][M][M][M],1000,1,9,8,0.09,True,True,"[25, 47, 15, 31, 46, 44, 62, 55]",[],"[25.504683952459583, 47.367442048501324, 15.40179685343791, 31.717781927686403, 46.34837883756723, 44.47408917617851, 62.99862568614635, 55.61858787527809]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7062554635668934,,,,3222686720,8060708,,,,,,"[24, 47, 15, 31, 46, 44, 62, 55]",0.7224554521005753,4.4914570216048055e-05,0.0,0.0,0.125,0.0,0.08,2,0,100,0,0.02,0,BEST,False,False,154,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M][M][M][M],1000,1,10,8,0.1,True,True,"[25, 47, 15, 31, 46, 44, 62, 55]",[],"[25.504683952459583, 47.367442048501324, 15.40179685343791, 31.717781927686403, 46.34837883756723, 44.47408917617851, 62.99862568614635, 55.61858787527809]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7062554635668934,,,,3222686720,8060708,,,,,,"[24, 47, 15, 31, 46, 44, 62, 55]",0.7226935616806505,2.9894800748331285e-05,0.0,0.0,0.125,0.0,0.08,0,0,100,0,0.0,0,BEST,False,False,154,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M][M][M][M],1000,1,11,8,0.11,True,True,"[25, 47, 15, 31, 46, 44, 62, 55]",[],"[25.504683952459583, 47.367442048501324, 15.40179685343791, 31.717781927686403, 46.34837883756723, 44.47408917617851, 62.99862568614635, 55.61858787527809]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7062554635668934,,,,3222686720,8060708,,,,,,"[24, 47, 15, 31, 46, 44, 62, 55]",0.7229427855757264,-4.199259871517924e-05,0.0,0.0,0.125,0.0,0.08,0,0,100,0,0.0,0,BEST,False,False,154,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M][M][M][M],1000,1,12,8,0.12,True,True,"[25, 47, 15, 31, 46, 44, 62, 55]",[],"[25.504683952459583, 47.367442048501324, 15.40179685343791, 31.717781927686403, 46.34837883756723, 44.47408917617851, 62.99862568614635, 55.61858787527809]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7062554635668934,,,,3222686720,8060708,,,,,,"[24, 47, 15, 31, 46, 44, 62, 55]",0.7231070514220738,-0.0003294756866015,0.0,0.0,0.125,0.0,0.08,0,0,100,0,0.0,0,BEST,False,False,154,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M][M][M][M],1000,1,13,8,0.13,True,True,"[25, 47, 15, 31, 46, 44, 62, 55]",[],"[25.504683952459583, 47.367442048501324, 15.40179685343791, 31.717781927686403, 46.34837883756723, 44.47408917617851, 62.99862568614635, 55.61858787527809]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7062554635668934,,,,3222686720,8060708,,,,,,"[24, 47, 15, 31, 46, 44, 62, 55]",0.7231974565918334,1.4578269450393757e-05,0.0,0.0,0.125,0.0,0.08,0,0,100,0,0.0,0,BEST,False,False,154,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M][M][M][M],1000,1,14,8,0.14,True,True,"[25, 47, 15, 31, 46, 44, 62, 55]",[],"[25.504683952459583, 47.367442048501324, 15.40179685343791, 31.717781927686403, 46.34837883756723, 44.47408917617851, 62.99862568614635, 55.61858787527809]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7062554635668934,,,,3222686720,8060708,,,,,,"[24, 47, 15, 31, 46, 44, 62, 55]",0.7237071450809782,2.2320634547545737e-05,0.0,0.0,0.125,0.0,0.08,0,0,100,0,0.0,0,BEST,False,False,154,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M][M][M][M][M],1000,1,15,15,0.15,True,True,"[25, 46, 15, 31, 46, 43, 62, 55]",[],"[25.83630166338955, 46.40160852332526, 15.006940966021489, 31.588682730962706, 46.125300193139964, 43.715711125559224, 62.999839884816495, 55.756449353733494]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.707741016732478,,,,2143140864,7183908,,,,,,"[25, 47, 15, 31, 46, 44, 62, 55]",0.7240733350105331,5.1597574747153097e-05,0.0,0.0,0.25,0.25,0.15,0,0,100,0,0.0,0,BEST,False,False,121,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M][M][M][M][M],1000,1,16,15,0.16,True,True,"[25, 46, 15, 31, 46, 43, 62, 55]",[],"[25.83630166338955, 46.40160852332526, 15.006940966021489, 31.588682730962706, 46.125300193139964, 43.715711125559224, 62.999839884816495, 55.756449353733494]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.707741016732478,,,,2143140864,7183908,,,,,,"[25, 47, 15, 31, 46, 44, 62, 55]",0.7251955608318721,3.2361478730091875e-06,0.0,0.0,0.25,0.0,0.15,0,0,100,0,0.0,0,BEST,False,False,121,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M][M][M][M][M],1000,1,17,15,0.17,True,True,"[25, 46, 15, 31, 46, 43, 62, 55]",[],"[25.83630166338955, 46.40160852332526, 15.006940966021489, 31.588682730962706, 46.125300193139964, 43.715711125559224, 62.999839884816495, 55.756449353733494]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.707741016732478,,,,2143140864,7183908,,,,,,"[25, 47, 15, 31, 46, 44, 62, 55]",0.7253556372770678,8.53846551073234e-05,0.0,0.0,0.25,0.0,0.15,0,0,100,0,0.0,0,BEST,False,False,121,True,True,GREEDY,,,GREEDY_CROSS
BMCWMY[M][M][M][M][M][M],1000,1,18,15,0.18,True,True,"[25, 46, 15, 31, 46, 43, 62, 55]",[],"[25.83630166338955, 46.40160852332526, 15.006940966021489, 31.588682730962706, 46.125300193139964, 43.715711125559224, 62.999839884816495, 55.756449353733494]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.707741016732478,,,,2143140864,7183908,,,,,,"[25, 47, 15, 31, 46, 44, 62, 55]",0.7254501109488923,0.0001501683514557,0.0,0.0,0.25,0.0,0.15,1,0,100,0,0.01,0,BEST,False,False,121,True,True,GREEDY,,,GREEDY_CROSS
BBJUHM[M],1000,1,19,19,0.19,True,True,"[0, 23, 23, 22, 46, 6, 7, 39]",[],"[0.8956635624099396, 23.75846403305785, 23.30069195899741, 22.277428095726965, 46.395295618402855, 6.881023064384842, 7.65402038734209, 39.13781224691716]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7080000860804064,,,,1583851008,3999012,,,,,,"[0, 23, 23, 23, 46, 6, 7, 38]",0.7253823991205213,-1.0107499298195322e-05,0.125,0.0,0.25,0.875,0.19,1,0,100,0,0.01,0,BEST,False,False,117,True,True,GREEDY,,,GREEDY_CROSS
BBJUHM[M],1000,1,20,19,0.2,True,True,"[0, 23, 23, 22, 46, 6, 7, 39]",[],"[0.8956635624099396, 23.75846403305785, 23.30069195899741, 22.277428095726965, 46.395295618402855, 6.881023064384842, 7.65402038734209, 39.13781224691716]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7080000860804064,,,,1583851008,3999012,,,,,,"[0, 23, 23, 23, 46, 6, 7, 38]",0.7265737572435554,0.0004133882085687,0.125,0.0,0.25,0.0,0.19,0,0,100,0,0.0,0,BEST,False,False,117,True,True,GREEDY,,,GREEDY_CROSS
