ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BLOKUN[M],0,1,1,1,0.01,True,True,"[2, 26, 43, 39, 44, 6, 30, 22]",[],"[2.391595721338405, 26.023867806172262, 43.69760332767554, 39.17929805926036, 44.44074205635389, 6.7780117407070115, 30.824870651011345, 22.476096224315533]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6946471897790475,,,,1199389696,3443492,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6888625397556088,0.0,0.0,0.0,0.5,0.0,0.01,11,23,100,200,0.11,0.115,BEST,False,False,267,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BLOKUN[M][M],0,1,2,2,0.02,True,True,"[2, 26, 43, 39, 44, 6, 31, 22]",[],"[2.036698339098375, 26.005033682005976, 43.08771719513881, 39.257183692003146, 44.840777638446745, 6.571011140234166, 31.38312505708203, 22.29854668369135]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6982987924322905,,,,1207778304,3705636,,,,,,"[2, 26, 43, 39, 44, 6, 30, 22]",0.6973366312093511,0.0067553213501811,0.0,0.0,0.125,0.125,0.02,4,14,100,200,0.04,0.07,BEST,False,False,231,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BLOKUN[M][M],0,1,3,2,0.03,True,True,"[2, 26, 43, 39, 44, 6, 31, 22]",[],"[2.036698339098375, 26.005033682005976, 43.08771719513881, 39.257183692003146, 44.840777638446745, 6.571011140234166, 31.38312505708203, 22.29854668369135]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6982987924322905,,,,1207778304,3705636,,,,,,"[2, 26, 43, 39, 44, 6, 30, 22]",0.6915705097109005,-0.0029944447856465,0.0,0.0,0.125,0.0,0.02,1,14,100,200,0.01,0.07,BEST,False,False,231,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BLOKUN[M][M],0,1,4,2,0.04,True,True,"[2, 26, 43, 39, 44, 6, 31, 22]",[],"[2.036698339098375, 26.005033682005976, 43.08771719513881, 39.257183692003146, 44.840777638446745, 6.571011140234166, 31.38312505708203, 22.29854668369135]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6982987924322905,,,,1207778304,3705636,,,,,,"[2, 26, 43, 39, 44, 6, 30, 22]",0.6958493940260463,-0.0048553317918967,0.0,0.0,0.125,0.0,0.02,4,8,100,200,0.04,0.04,BEST,False,False,231,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M],0,1,5,5,0.05,True,True,"[2, 26, 44, 39, 46, 6, 31, 23]",[],"[2.7146507947805802, 26.5449549229793, 44.334337039221644, 39.520149074270044, 46.74427947864687, 6.097028966471999, 31.421437455718063, 23.27324878421776]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7104841164610634,,,,1248271360,4169252,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7027050692065795,-0.0080376435548933,0.0,0.5,0.625,0.375,0.05,2,17,100,200,0.02,0.085,BEST,False,False,56,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M],0,1,6,5,0.06,True,True,"[2, 26, 44, 39, 46, 6, 31, 23]",[],"[2.7146507947805802, 26.5449549229793, 44.334337039221644, 39.520149074270044, 46.74427947864687, 6.097028966471999, 31.421437455718063, 23.27324878421776]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7104841164610634,,,,1248271360,4169252,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7108997063856574,-0.0006367350449527,0.0,0.5,0.625,0.0,0.05,0,5,100,200,0.0,0.025,BEST,False,False,56,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M],0,1,7,5,0.07,True,True,"[2, 26, 44, 39, 46, 6, 31, 23]",[],"[2.7146507947805802, 26.5449549229793, 44.334337039221644, 39.520149074270044, 46.74427947864687, 6.097028966471999, 31.421437455718063, 23.27324878421776]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7104841164610634,,,,1248271360,4169252,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7120635517695851,-0.0022781184459997,0.0,0.5,0.625,0.0,0.05,1,14,100,200,0.01,0.07,BEST,False,False,56,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M],0,1,8,5,0.08,True,True,"[2, 26, 44, 39, 46, 6, 31, 23]",[],"[2.7146507947805802, 26.5449549229793, 44.334337039221644, 39.520149074270044, 46.74427947864687, 6.097028966471999, 31.421437455718063, 23.27324878421776]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7104841164610634,,,,1248271360,4169252,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7173096716358338,0.0015163726731783,0.0,0.5,0.625,0.0,0.05,3,15,100,200,0.03,0.075,BEST,False,False,56,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M],0,1,9,5,0.09,True,True,"[2, 26, 44, 39, 46, 6, 31, 23]",[],"[2.7146507947805802, 26.5449549229793, 44.334337039221644, 39.520149074270044, 46.74427947864687, 6.097028966471999, 31.421437455718063, 23.27324878421776]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7104841164610634,,,,1248271360,4169252,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7158134665086116,-0.001580185215403,0.0,0.5,0.625,0.0,0.05,0,11,100,200,0.0,0.055,BEST,False,False,56,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M],0,1,10,5,0.1,True,True,"[2, 26, 44, 39, 46, 6, 31, 23]",[],"[2.7146507947805802, 26.5449549229793, 44.334337039221644, 39.520149074270044, 46.74427947864687, 6.097028966471999, 31.421437455718063, 23.27324878421776]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7104841164610634,,,,1248271360,4169252,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7174400023674568,-0.0004910574710554,0.0,0.5,0.625,0.0,0.05,0,12,100,200,0.0,0.06,BEST,False,False,56,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M],0,1,11,5,0.11,True,True,"[2, 26, 44, 39, 46, 6, 31, 23]",[],"[2.7146507947805802, 26.5449549229793, 44.334337039221644, 39.520149074270044, 46.74427947864687, 6.097028966471999, 31.421437455718063, 23.27324878421776]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7104841164610634,,,,1248271360,4169252,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7180148164768794,-0.0011877836117644,0.0,0.5,0.625,0.0,0.05,1,16,100,200,0.01,0.08,BEST,False,False,56,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M][M],0,1,12,12,0.12,True,True,"[4, 28, 44, 39, 46, 6, 31, 23]",[],"[4.328098961496427, 28.078714619028272, 44.23035612374501, 39.12867324194473, 46.73564545849232, 6.1828794520348325, 31.394455012357803, 23.118948117302246]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.710930147914023,,,,1677007872,4532260,,,,,,"[2, 26, 44, 39, 46, 6, 31, 23]",0.7192663024962369,-0.0013131497942191,0.0,0.0,0.25,0.25,0.12,0,13,100,200,0.0,0.065,BEST,False,False,47,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M][M],0,1,13,12,0.13,True,True,"[4, 28, 44, 39, 46, 6, 31, 23]",[],"[4.328098961496427, 28.078714619028272, 44.23035612374501, 39.12867324194473, 46.73564545849232, 6.1828794520348325, 31.394455012357803, 23.118948117302246]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.710930147914023,,,,1677007872,4532260,,,,,,"[2, 26, 44, 39, 46, 6, 31, 23]",0.7205808986445804,-0.0015755482371937,0.0,0.0,0.25,0.0,0.12,1,19,100,200,0.01,0.095,BEST,False,False,47,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M][M],0,1,14,12,0.14,True,True,"[4, 28, 44, 39, 46, 6, 31, 23]",[],"[4.328098961496427, 28.078714619028272, 44.23035612374501, 39.12867324194473, 46.73564545849232, 6.1828794520348325, 31.394455012357803, 23.118948117302246]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.710930147914023,,,,1677007872,4532260,,,,,,"[2, 26, 44, 39, 46, 6, 31, 23]",0.722156448102911,-0.00025023055704,0.0,0.0,0.25,0.0,0.12,1,5,100,200,0.01,0.025,BEST,False,False,47,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M][M],0,1,15,12,0.15,True,True,"[4, 28, 44, 39, 46, 6, 31, 23]",[],"[4.328098961496427, 28.078714619028272, 44.23035612374501, 39.12867324194473, 46.73564545849232, 6.1828794520348325, 31.394455012357803, 23.118948117302246]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.710930147914023,,,,1677007872,4532260,,,,,,"[2, 26, 44, 39, 46, 6, 31, 23]",0.7224025211702543,-6.762249671043996e-05,0.0,0.0,0.25,0.0,0.12,2,12,100,200,0.02,0.06,BEST,False,False,47,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M][M],0,1,16,12,0.16,True,True,"[4, 28, 44, 39, 46, 6, 31, 23]",[],"[4.328098961496427, 28.078714619028272, 44.23035612374501, 39.12867324194473, 46.73564545849232, 6.1828794520348325, 31.394455012357803, 23.118948117302246]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.710930147914023,,,,1677007872,4532260,,,,,,"[2, 26, 44, 39, 46, 6, 31, 23]",0.7225217896981364,-0.0001236659428816,0.0,0.0,0.25,0.0,0.12,6,12,100,200,0.06,0.06,BEST,False,False,47,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BWLHFG[M][M],0,1,17,12,0.17,True,True,"[4, 28, 44, 39, 46, 6, 31, 23]",[],"[4.328098961496427, 28.078714619028272, 44.23035612374501, 39.12867324194473, 46.73564545849232, 6.1828794520348325, 31.394455012357803, 23.118948117302246]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.710930147914023,,,,1677007872,4532260,,,,,,"[2, 26, 44, 39, 46, 6, 31, 23]",0.7226244180733726,-7.278703766444572e-05,0.0,0.0,0.25,0.0,0.12,4,11,100,200,0.04,0.055,BEST,False,False,47,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BLOKUN[M][M][M][M][M][M],0,1,18,18,0.18,True,True,"[2, 24, 46, 38, 46, 6, 31, 23]",[],"[2.124681896560352, 24.32225997791224, 46.381045499376256, 38.913437124368286, 46.21279449102303, 6.610226810993327, 31.051009703180654, 23.26103371420121]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7114174883416352,,,,1040522240,3819428,,,,,,"[1, 24, 46, 38, 46, 6, 28, 23]",0.7227205389944134,-0.000576088867886,0.0,0.0,0.25,0.5,0.18,2,14,100,200,0.02,0.07,BEST,False,False,42,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BLOKUN[M][M][M][M][M][M],0,1,19,18,0.19,True,True,"[2, 24, 46, 38, 46, 6, 31, 23]",[],"[2.124681896560352, 24.32225997791224, 46.381045499376256, 38.913437124368286, 46.21279449102303, 6.610226810993327, 31.051009703180654, 23.26103371420121]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7114174883416352,,,,1040522240,3819428,,,,,,"[1, 24, 46, 38, 46, 6, 28, 23]",0.723482779042014,0.0001275769099771,0.0,0.0,0.25,0.0,0.18,0,15,100,200,0.0,0.075,BEST,False,False,42,True,True,GREEDY,,,GREEDY_MUT_SELECTED
BLOKUN[M][M][M][M][M][M],0,1,20,18,0.2,True,True,"[2, 24, 46, 38, 46, 6, 31, 23]",[],"[2.124681896560352, 24.32225997791224, 46.381045499376256, 38.913437124368286, 46.21279449102303, 6.610226810993327, 31.051009703180654, 23.26103371420121]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7114174883416352,,,,1040522240,3819428,,,,,,"[1, 24, 46, 38, 46, 6, 28, 23]",0.7233451177546727,-0.0019860375731223,0.0,0.0,0.25,0.0,0.18,0,17,100,200,0.0,0.085,BEST,False,False,42,True,True,GREEDY,,,GREEDY_MUT_SELECTED
