ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
PUAN,42,1,1,False,False,"[1, 1, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 1, 2, 0, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,15,"[0.2655999958515167, 0.36899998784065247, 0.41260001063346863, 0.47040000557899475, 0.492000013589859, 0.46389999985694885, 0.5273000001907349, 0.4571000039577484, 0.5702000260353088, 0.38519999384880066, 0.5393000245094299, 0.6033999919891357, 0.41670000553131104, 0.6033999919891357, 0.5040000081062317]","[1.9922493696212769, 1.7762603759765625, 1.6060177087783813, 1.478933334350586, 1.4276682138442993, 1.5477827787399292, 1.3367834091186523, 1.5190210342407227, 1.1942734718322754, 1.7678011655807495, 1.3198977708816528, 1.1268296241760254, 1.7060072422027588, 1.1027686595916748, 1.3851641416549683]",0.504000008,1.385164142,69665998,155.3790579,443370,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
RCGD,42,1,1,False,False,"[1, 2, 0, 2, -1, 1, 1, 1, 0, 1, 1, 0, 1, 3, 0, 2, -1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,10,"[0.24079999327659607, 0.1388999968767166, 0.2004999965429306, 0.22040000557899475, 0.3046000003814697, 0.25189998745918274, 0.1720000058412552, 0.26669999957084656, 0.29670000076293945, 0.210099995136261]","[2.374652862548828, 9.43900203704834, 4.1460700035095215, 3.2166836261749268, 3.226210832595825, 3.7386019229888916, 4.951247692108154, 3.421935558319092, 2.956594467163086, 4.106987476348877]",0.210099995,4.106987476,37302686,102.6909826,2627210,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
TUOX,42,1,1,False,False,"[1, 0, 0, 1, 3, 1, 1, 1, 1, 2, -1, 1, 1, 2, 1, 1, 1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,6,"[0.3163999915122986, 0.2718999981880188, 0.21439999341964722, 0.2669000029563904, 0.2985999882221222, 0.15559999644756317]","[1.9263019561767578, 2.8940653800964355, 3.5730390548706055, 2.1524782180786133, 2.2757248878479004, 3.1027846336364746]",0.155599996,3.102784634,665945118,68.09723902,2882826,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
UWC,42,1,1,False,False,"[1, 0, 1, 1, 2, 0, 2, -1, 0, 1, 1, 1, 1, 0, 0, 2, -1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,15,"[0.31130000948905945, 0.33709999918937683, 0.4251999855041504, 0.5126000046730042, 0.5555999875068665, 0.5795000195503235, 0.5924999713897705, 0.6424000263214111, 0.6304000020027161, 0.5938000082969666, 0.6934999823570251, 0.6830999851226807, 0.6342999935150146, 0.6173999905586243, 0.7364000082015991]","[1.903915286064148, 2.155208110809326, 1.69801664352417, 1.4541504383087158, 1.3106321096420288, 1.2460923194885254, 1.1482511758804321, 1.008150339126587, 1.0565310716629028, 1.136823296546936, 0.8725693225860596, 0.9264929890632629, 1.0849902629852295, 1.1192353963851929, 0.7804534435272217]",0.736400008,0.780453444,98115934,152.3400128,861290,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
ASXD,42,1,1,False,False,"[1, 2, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 2, -1, 0, 1, 1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [64, 3]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,8,"[0.29260000586509705, 0.17299999296665192, 0.3395000100135803, 0.21529999375343323, 0.23000000417232513, 0.25850000977516174, 0.2013999968767166, 0.2777000069618225]","[2.135854959487915, 3.1666600704193115, 1.9488705396652222, 2.8174080848693848, 2.824580192565918, 2.4127440452575684, 2.5513906478881836, 2.3428428173065186]",0.277700007,2.342842817,182500638,83.43403292,8581738,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
CHFE,42,1,1,False,False,"[1, 3, 1, 1, 0, 1, 1, 0, 1, 2, -1, 0, 1, 1, 0, 1, 1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,15,"[0.24609999358654022, 0.42340001463890076, 0.5336999893188477, 0.4733999967575073, 0.48899999260902405, 0.5541999936103821, 0.5885000228881836, 0.6583999991416931, 0.558899998664856, 0.6539999842643738, 0.613099992275238, 0.6209999918937683, 0.6764000058174133, 0.635699987411499, 0.682699978351593]","[2.463798761367798, 1.6821531057357788, 1.3434745073318481, 1.6354402303695679, 1.5724316835403442, 1.3872407674789429, 1.2164114713668823, 1.0174072980880737, 1.2880996465682983, 1.0112556219100952, 1.0932965278625488, 1.3118078708648682, 0.9960908889770508, 1.1809521913528442, 0.982958972454071]",0.682699978,0.982958972,288819038,155.1471686,2471754,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
EWVV,42,1,1,False,False,"[1, 2, 1, 2, -1, 0, 1, 3, 0, 2, -1, 0, 1, 3, 1, 2, -1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,9,"[0.16740000247955322, 0.30309998989105225, 0.2492000013589859, 0.4433000087738037, 0.25130000710487366, 0.27410000562667847, 0.36079999804496765, 0.36230000853538513, 0.30079999566078186]","[3.006028175354004, 2.5632803440093994, 3.696840286254883, 1.7130298614501953, 4.1973772048950195, 3.089996576309204, 3.441577672958374, 2.642451763153076, 3.827450752258301]",0.300799996,3.827450752,192503070,92.30949545,4050954,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
TTCN,42,1,1,False,False,"[1, 2, 0, 1, 0, 0, 1, 1, 0, 2, -1, 1, 1, 1, 1, 1, 3, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,11,"[0.3084999918937683, 0.3009999990463257, 0.5041999816894531, 0.47380000352859497, 0.28279998898506165, 0.5181000232696533, 0.2563999891281128, 0.35100001096725464, 0.4262999892234802, 0.5042999982833862, 0.45350000262260437]","[2.102245330810547, 2.6385350227355957, 1.4846516847610474, 1.5392131805419922, 2.6830289363861084, 1.3736863136291504, 2.312596559524536, 1.971073031425476, 1.938879132270813, 1.5082321166992188, 1.9082884788513184]",0.453500003,1.908288479,138150110,113.5598772,16440874,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
LFDC,42,1,1,False,False,"[1, 1, 1, 1, 1, 0, 2, -1, 0, 1, 0, 0, 1, 3, 0, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,15,"[0.2639000117778778, 0.3718999922275543, 0.46950000524520874, 0.4896000027656555, 0.5763999819755554, 0.4982999861240387, 0.6022999882698059, 0.5756999850273132, 0.6299999952316284, 0.6486999988555908, 0.6837999820709229, 0.6571000218391418, 0.6873000264167786, 0.5819000005722046, 0.6887000203132629]","[2.150078535079956, 1.89065682888031, 1.5673843622207642, 1.4712669849395752, 1.2128814458847046, 1.3755710124969482, 1.1594847440719604, 1.1712783575057983, 1.0459808111190796, 0.9880431890487671, 0.910369336605072, 0.9894062280654907, 0.8691325187683105, 1.2844818830490112, 0.9254063367843628]",0.68870002,0.925406337,67615070,151.9066854,1317482,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
FMJZ,42,1,1,False,False,"[1, 1, 0, 1, 2, 1, 2, -1, 0, 1, 2, 1, 1, 1, 0, 1, 3, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,15,"[0.3531999886035919, 0.2906999886035919, 0.3865000009536743, 0.3862000107765198, 0.38199999928474426, 0.536300003528595, 0.41280001401901245, 0.27720001339912415, 0.3862000107765198, 0.582099974155426, 0.4090000092983246, 0.5429999828338623, 0.557699978351593, 0.54830002784729, 0.6187999844551086]","[1.866915225982666, 2.511863946914673, 2.0959768295288086, 1.826251745223999, 1.8129603862762451, 1.338544487953186, 1.6953877210617065, 2.4879753589630127, 1.8589723110198975, 1.222456693649292, 2.344449758529663, 1.2540998458862305, 1.3206244707107544, 1.280213713645935, 1.1162388324737549]",0.618799984,1.116238832,389967518,155.76738,17621578,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
